FECHA;PRECIO.IGPA;PRECIO.X;PRECIO.Y;PRECIO.Z
01-07-2015;18705,47;22,78;305,00;91,00
02-07-2015;18808,31;22,78;303,22;92,00
03-07-2015;18752,64;22,35;300,00;92,00
06-07-2015;18546,62;21,85;300,00;92,50
07-07-2015;18452,02;21,55;299,99;92,50
08-07-2015;18369,68;20,99;295,00;90,17
09-07-2015;18533,80;20,99;294,99;90,17
10-07-2015;18891,62;20,99;294,99;90,17
13-07-2015;18979,67;20,99;294,99;90,20
14-07-2015;19033,32;21,57;295,00;90,20
15-07-2015;18977,76;21,48;295,00;90,20
17-07-2015;18957,65;20,74;294,99;88,94
20-07-2015;19013,25;20,74;294,99;88,94
21-07-2015;19037,53;20,74;292,00;91,00
22-07-2015;18896,71;20,74;292,00;94,73
23-07-2015;18825,98;20,20;294,00;94,72
24-07-2015;18703,05;20,10;295,00;94,71
27-07-2015;18495,43;20,10;290,00;93,49
28-07-2015;18460,18;19,67;290,00;94,00
29-07-2015;18368,63;19,20;290,00;94,00
30-07-2015;18484,52;19,10;290,00;94,00
31-07-2015;18833,52;18,36;290,00;94,00
03-08-2015;18678,71;18,36;285,00;94,00
04-08-2015;18751,52;18,00;280,00;93,70
05-08-2015;18845,86;18,00;280,00;93,70
06-08-2015;18793,72;18,89;278,99;93,60
07-08-2015;18781,66;18,89;275,00;92,00
10-08-2015;18813,77;18,89;265,00;92,00
11-08-2015;18679,29;18,37;265,00;90,00
12-08-2015;18640,10;18,37;263,90;89,00
13-08-2015;18573,79;18,10;263,88;89,00
14-08-2015;18513,95;18,10;263,49;88,20
17-08-2015;18466,77;18,10;263,49;90,00
18-08-2015;18433,57;18,10;260,00;91,00
19-08-2015;18457,24;18,10;260,00;91,00
20-08-2015;18402,25;18,10;260,00;90,90
21-08-2015;18107,09;18,00;249,00;87,35
24-08-2015;17725,56;17,34;235,01;82,60
25-08-2015;17970,28;17,35;225,00;82,00
26-08-2015;18013,79;17,09;226,00;82,00
27-08-2015;18507,98;17,16;230,00;82,00
28-08-2015;18546,02;17,16;226,12;82,00
31-08-2015;18756,37;17,15;227,14;82,00
